,Histogram_Close,Histogram_High,Histogram_Low,coin,exchange
0,"(5865.4, 6120.04, 17)","(5916.9, 6175.469999999999, 15)","(5755.0, 6008.21, 10)",BTC,Bitfinex
1,"(6120.04, 6374.679999999999, 46)","(6175.469999999999, 6434.04, 46)","(6008.21, 6261.42, 38)",BTC,Bitfinex
2,"(6374.679999999999, 6629.32, 45)","(6434.04, 6692.61, 47)","(6261.42, 6514.63, 48)",BTC,Bitfinex
3,"(6629.32, 6883.959999999999, 40)","(6692.61, 6951.18, 39)","(6514.63, 6767.84, 52)",BTC,Bitfinex
4,"(6883.959999999999, 7138.599999999999, 0)","(6951.18, 7209.75, 0)","(6767.84, 7021.05, 1)",BTC,Bitfinex
5,"(7138.599999999999, 7393.24, 15)","(7209.75, 7468.32, 14)","(7021.05, 7274.26, 11)",BTC,Bitfinex
6,"(7393.24, 7647.879999999999, 44)","(7468.32, 7726.889999999999, 56)","(7274.26, 7527.47, 42)",BTC,Bitfinex
7,"(7647.879999999999, 7902.5199999999995, 25)","(7726.889999999999, 7985.46, 14)","(7527.47, 7780.68, 30)",BTC,Bitfinex
8,"(7902.5199999999995, 8157.16, 9)","(7985.46, 8244.03, 12)","(7780.68, 8033.89, 7)",BTC,Bitfinex
9,"(8157.16, 8411.8, 19)","(8244.03, 8502.6, 17)","(8033.89, 8287.1, 21)",BTC,Bitfinex
