,Histogram_Close,Histogram_High,Histogram_Low,coin,exchange
0,"(5839.1, 6096.46, 16)","(5902.44, 6162.456, 20)","(5755.0, 6009.5, 14)",BTC,Bitfinex
1,"(6096.46, 6353.820000000001, 65)","(6162.456, 6422.472, 75)","(6009.5, 6264.0, 55)",BTC,Bitfinex
2,"(6353.820000000001, 6611.18, 74)","(6422.472, 6682.487999999999, 69)","(6264.0, 6518.5, 74)",BTC,Bitfinex
3,"(6611.18, 6868.540000000001, 67)","(6682.487999999999, 6942.504, 57)","(6518.5, 6773.0, 78)",BTC,Bitfinex
4,"(6868.540000000001, 7125.900000000001, 1)","(6942.504, 7202.52, 2)","(6773.0, 7027.5, 2)",BTC,Bitfinex
5,"(7125.900000000001, 7383.26, 22)","(7202.52, 7462.536, 22)","(7027.5, 7282.0, 17)",BTC,Bitfinex
6,"(7383.26, 7640.620000000001, 70)","(7462.536, 7722.552, 84)","(7282.0, 7536.5, 61)",BTC,Bitfinex
7,"(7640.620000000001, 7897.9800000000005, 34)","(7722.552, 7982.568, 19)","(7536.5, 7791.0, 47)",BTC,Bitfinex
8,"(7897.9800000000005, 8155.34, 9)","(7982.568, 8242.584, 23)","(7791.0, 8045.5, 9)",BTC,Bitfinex
9,"(8155.34, 8412.7, 33)","(8242.584, 8502.6, 20)","(8045.5, 8300.0, 34)",BTC,Bitfinex
