coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1423420200.0,224.22,225.0,215.4,220.61,6493501.42,29625.03,08-02-2015 18:30,,,
BTC,Bitfinex,1424025000.0,220.61,266.84,214.0,236.78,58869379.92,248925.06,15-02-2015 18:30,,,
BTC,Bitfinex,1424629800.0,236.78,248.98,231.01,239.73,50665311.65000001,211189.61,22-02-2015 18:30,,,
BTC,Bitfinex,1425234600.0,239.73,276.0,233.62,275.99,47525510.76,188727.36,01-03-2015 18:30,,,
BTC,Bitfinex,1425839400.0,277.3,295.0,262.0,291.2,98449065.95,354530.0500000001,08-03-2015 18:30,,,
BTC,Bitfinex,1426444200.0,291.2,303.96,281.36,291.1,66084509.47,226179.63,15-03-2015 18:30,,,
BTC,Bitfinex,1427049000.0,291.1,292.9,246.98,266.78,69445534.79,261652.56,22-03-2015 18:30,,,
BTC,Bitfinex,1427653800.0,266.78,268.4,235.7,247.9,62721441.72000001,253260.86,29-03-2015 18:30,,,
BTC,Bitfinex,1428258600.0,247.9,262.45,239.21,255.81,37743794.39,150162.16999999998,05-04-2015 18:30,,,
BTC,Bitfinex,1428863400.0,255.81,257.9,220.14,225.49,44026484.72,184827.86,12-04-2015 18:30,,,
BTC,Bitfinex,1429468200.0,225.49,230.0,216.37,224.21,38109848.19000001,170661.75,19-04-2015 18:30,,,
BTC,Bitfinex,1430073000.0,224.21,238.99,213.92,227.41,39700123.19,174476.22000000006,26-04-2015 18:30,,,
BTC,Bitfinex,1430677800.0,227.41,243.73,222.16,239.01,32842235.17,140258.99000000002,03-05-2015 18:30,,,
BTC,Bitfinex,1431282600.0,239.01,249.22,226.42,242.85,42476158.86,178827.76000000004,10-05-2015 18:30,,,
BTC,Bitfinex,1431887400.0,242.85,245.0,229.0,232.0,22729986.01,95555.07,17-05-2015 18:30,,,
BTC,Bitfinex,1432492200.0,232.0,242.98,231.19,236.9,17827767.45,75188.96,24-05-2015 18:30,,,
BTC,Bitfinex,1433097000.0,236.9,239.3,219.71,221.97,20478753.16,88734.06,31-05-2015 18:30,,,
BTC,Bitfinex,1433701800.0,221.97,230.63,220.97,228.5,25962484.76,115310.9,07-06-2015 18:30,,,
BTC,Bitfinex,1434306600.0,228.5,238.16,227.48,237.18,19679421.75,84870.56999999999,14-06-2015 18:30,,,
BTC,Bitfinex,1434911400.0,237.18,259.1,236.0,247.35,49392794.81000001,199571.48,21-06-2015 18:30,286.31991128233386,244.43850000000003,202.5570887176662
BTC,Bitfinex,1435516200.0,247.35,257.74,239.0,257.01,27650967.22,111698.61,28-06-2015 18:30,286.98750748852103,246.25850000000005,205.52949251147905
BTC,Bitfinex,1436121000.0,257.01,278.69,252.11,272.0,28923496.56,149637.38,05-07-2015 18:30,289.98381983244815,248.01950000000002,206.0551801675519
BTC,Bitfinex,1436725800.0,272.0,316.23,272.0,291.89,40683557.78,136487.18,12-07-2015 18:30,296.50754440930723,250.62750000000005,204.74745559069288
BTC,Bitfinex,1437330600.0,291.89,297.25,272.0,278.95,44911101.55,158772.05999999994,19-07-2015 18:30,296.99965363205695,250.77550000000002,204.55134636794313
BTC,Bitfinex,1437935400.0,278.95,298.74,274.5,294.71,28604396.250000004,100024.98,26-07-2015 18:30,297.81003537206027,250.95099999999996,204.09196462793966
BTC,Bitfinex,1438540200.0,294.71,298.93,276.26,283.51,27253720.74,95153.82,02-08-2015 18:30,296.23135513555644,250.57150000000001,204.9116448644436
BTC,Bitfinex,1439145000.0,283.51,285.94,260.62,264.96,30307695.37,111090.86,09-08-2015 18:30,296.0178685998653,250.48050000000003,204.94313140013475
BTC,Bitfinex,1439749800.0,264.96,273.75,256.5,258.49,27310292.3,103381.5,16-08-2015 18:30,296.661167345425,251.01,205.358832654575
BTC,Bitfinex,1440354600.0,258.49,258.5,162.0,212.63,65320331.17,287452.11,23-08-2015 18:30,297.3832659269068,248.85099999999997,200.31873407309317
BTC,Bitfinex,1440959400.0,212.63,238.9,196.6,230.8,35491674.49,159952.05000000002,30-08-2015 18:30,297.19060249812264,249.1165,201.0423975018774
BTC,Bitfinex,1441564200.0,230.8,248.48,226.1,240.34,17825723.16,76067.14,06-09-2015 18:30,296.8256247026752,249.923,203.0203752973248
BTC,Bitfinex,1442169000.0,240.34,247.68,228.4,230.96,19230379.89,80541.09,13-09-2015 18:30,296.68678788602926,250.1005,203.51421211397073
